,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
135,BENTLEY,Continental GT Speed,AM-S8,6.0L,12cyl,15,12,20,"$4,100",2,"['P', 'T', 'Tax', 'CD', 'SS']",2023
136,BMW,230i Coupe,A-S8,2.0L,4cyl,29,26,35,"$2,100",6,"['P', 'T', 'SS']",2023
137,BMW,230i xDrive Coupe,A-S8,2.0L,4cyl,28,24,34,"$2,200",6,"['P', 'T', 'SS']",2023
138,BMW,430i Convertible,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']",2023
139,BMW,430i Coupe,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']",2023
140,BMW,430i xDrive Convertible,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']",2023
141,BMW,430i xDrive Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']",2023
142,BMW,840i Convertible,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
143,BMW,840i Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
144,BMW,840i xDrive Convertible,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
145,BMW,840i xDrive Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']",2023
146,BMW,M2 Coupe,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
147,BMW,M2 Coupe,M-6,3.0L,6cyl,19,16,24,"$3,200",4,"['PR', 'T', 'SS']",2023
148,BMW,M240i Coupe,A-S8,3.0L,6cyl,26,22,32,"$2,350",5,"['P', 'T', 'SS']",2023
149,BMW,M240i xDrive Coupe,A-S8,3.0L,6cyl,26,23,32,"$2,350",5,"['P', 'T', 'SS']",2023
150,BMW,M4 Competition Coupe,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
151,BMW,M4 Competition M xDrive Convertible,A-S8,3.0L,6cyl,18,16,23,"$3,400",4,"['PR', 'T', 'SS']",2023
152,BMW,M4 Competition M xDrive Coupe,A-S8,3.0L,6cyl,18,16,22,"$3,400",4,"['PR', 'T', 'SS']",2023
153,BMW,M4 Coupe,M-6,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
154,BMW,M4 CSL Coupe,A-S8,3.0L,6cyl,18,16,23,"$3,400",4,"['PR', 'T', 'SS']",2023
155,BMW,M440i Convertible,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2023
156,BMW,M440i Coupe,A-S8,3.0L,6cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
157,BMW,M440i xDrive Convertible,A-S8,3.0L,6cyl,25,22,31,"$2,450",5,"['P', 'T', 'MHEV', 'SS']",2023
158,BMW,M440i xDrive Coupe,A-S8,3.0L,6cyl,25,22,31,"$2,450",5,"['P', 'T', 'MHEV', 'SS']",2023
159,BMW,M8 Competition Convertible,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2023
160,BMW,M8 Competition Coupe,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['P', 'T', 'Tax', 'SS']",2023
161,BMW,M850i xDrive Convertible,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']",2023
162,BMW,M850i xDrive Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']",2023
163,CHEVROLET,Camaro,A-S8,2.0L,4cyl,25,22,30,"$2,450",5,"['PR', 'T']",2023
164,CHEVROLET,Camaro,M-6,2.0L,4cyl,22,19,28,"$2,800",5,"['PR', 'T']",2023
165,CHEVROLET,Camaro,A-S10,3.6L,6cyl,22,18,29,"$2,150",5,['CD'],2023
166,CHEVROLET,Camaro,M-6,3.6L,6cyl,20,16,26,"$2,400",4,[],2023
167,CHEVROLET,Camaro,A-S10,6.2L,8cyl,20,16,26,"$3,050",4,"['PR', 'CD']",2023
168,CHEVROLET,Camaro,A-S10,6.2L,8cyl,16,13,21,"$3,800",3,"['PR', 'S', 'Tax']",2023
169,CHEVROLET,Camaro,M-6,6.2L,8cyl,19,16,24,"$3,200",4,['PR'],2023
170,CHEVROLET,Camaro,M-6,6.2L,8cyl,16,14,20,"$3,800",3,"['PR', 'S', 'Tax']",2023
171,FERRARI,Roma,AM-8,3.9L,8cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']",2023
172,FORD,Mustang,A-10,2.3L,4cyl,25,22,32,"$1,900",5,['T'],2023
173,FORD,Mustang,A-S10,2.3L,4cyl,24,21,31,"$2,000",5,['T'],2023
174,FORD,Mustang,M-6,2.3L,4cyl,24,21,29,"$2,000",5,['T'],2023
175,FORD,Mustang,A-S10,5.0L,8cyl,19,15,24,"$2,500",4,[],2023
176,FORD,Mustang,M-6,5.0L,8cyl,18,15,24,"$2,650",4,[],2023
177,FORD,Mustang Convertible,A-10,2.3L,4cyl,23,20,28,"$2,050",5,['T'],2023
178,FORD,Mustang Convertible,A-S10,2.3L,4cyl,23,20,28,"$2,050",5,['T'],2023
179,FORD,Mustang Convertible,M-6,2.3L,4cyl,23,20,27,"$2,050",5,['T'],2023
180,FORD,Mustang Convertible,A-S10,5.0L,8cyl,18,15,23,"$2,650",4,[],2023
181,FORD,Mustang HO Convertible,A-S10,2.3L,4cyl,22,19,26,"$2,150",5,['T'],2023
